Rte,Street Name,Address,Address,Day of,AM/PM,Side,From,To,Opt-
42,Josephine,1600,1698,2nd Wed,PM,W,Cedar,Virginia,1600
32,Josephine,1601,1699,2nd Tue,PM,E,Cedar,Virginia,
31,Julia,1500,1698,1st Tue,AM,S,Sacramento,King,
21,Julia,1501,1699,1st Mon,AM,N,Sacramento,King,
22,Kains,1172,1598,2nd Mon,PM,W,City Limit,Hopkins,
61,Kains,1171,1599,1st Fri,PM,E,City Limit,Hopkins,
51,Kains,1600,1698,1st Thurs,PM,W,Cedar,Virginia,
41,Kains,1601,1699,1st Wed,PM,E,Cedar,Virginia,
44,Kelsey,2800,2898,4th Wed,AM,W,Stuart,Russell,
24,Kelsey,2801,2899,4th Mon,AM,E,Stuart,Russell,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,3
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
51,King,2900,3398,1st Thurs,AM,W,Russell,City Limit,
41,King,2901,3399,1st Wed,AM,E,Russell,City Limit,
43,Lassen,1001,1099,3rd Wed,PM,E,Marin,El Dorado,1000
53,Lassen,1101,1198,3rd Thurs,PM,W,Marin,El Dorado,
63,Lewiston,3100,3198,3rd Fri,AM,W,Woolsey,Alcatraz,
34,Lewiston,3101,3199,4th Tue,AM,E,Woolsey,Alcatraz,
41,Lincoln,1300,1348,1st Wed,PM,S,Chestnut,Terminus,
41,Lincoln,1300,1349,1st Wed,PM,N,Chestnut,Terminus,
41,Lincoln,1400,1498,1st Wed,PM,S,Sacramento,Acton,
51,Lincoln,1401,1499,1st Thurs,PM,N,Sacramento,Acton,
42,Lincoln,1500,1798,2nd Wed,PM,S,Sacramento,Grant,1500
32,Lincoln,1501,1799,2nd Tue,PM,N,Sacramento,Grant,1600
34,Linden,2900,2998,4th Tue,AM,W,Ashby,Webster,2900
63,Linden,2961,2999,3rd Fri,AM,E,Ashby,Webster,
43,Lorina,2900,2998,3rd Wed,AM,W,Russell,Ashby,
53,Lorina,2901,2999,3rd Thurs,AM,E,Russell,Ashby,
52,Mabel,2500,3199,2nd Thurs,AM,W,Dwight,66th,
62,Mabel,2501,3123,2nd Fri,AM,E,Dwight,66th,
63,Magnolia,2960,2998,3rd Fri,AM,W,Ashby,Webster,
34,Magnolia,2901,2999,4th Tue,AM,E,Ashby,Webster,2900
52,M L King,1201,1599,2nd Thurs,PM,E,Yolo,Cedar,
62,M L King,1300,1598,2nd Fri,PM,W,Berryman,Cedar,
32,M L King,1600,1998,2nd Tue,PM,W,Cedar,Berkeley Way,
42,M L King,1601,1923,2nd Wed,PM,E,Cedar,Berkeley Way,
34,M L King,2500,2898,4th Tue,PM,W,Dwight,Russell,
44,M L King,2501,2899,4th Wed,PM,E,Dwight,Russell,
41,M L King,2900,3198,1st Wed,AM,W,Russell,Fairview,
51,M L King,2901,2999,1st Thurs,AM,E,Russell,Ashby,
51,M L King,3300,3398,1st Thurs,AM,E,Alcatraz,City Limit,
61,Masonic,1200,1298,1st Fri,PM,W,City Limit,Santa Fe,
22,Masonic,1201,1299,2nd Mon,PM,E,City Limit,Santa Fe,
52,Matthews,2500,2998,2nd Thurs,AM,W,Dwight,Russell,
62,Matthews,2725,2899,2nd Fri,AM,E,Dwight,Russell,
62,McGee,1400,1598,2nd Fri,PM,W,Hopkins,Cedar,
52,McGee,1301,1599,2nd Thurs,PM,E,Hopkins,Cedar,
32,McGee,1600,1798,2nd Tue,PM,W,Cedar,Delaware,
42,McGee,1601,1799,2nd Wed,PM,E,Cedar,Delaware,
32,McGee,1800,1898,2nd Tue,PM,W,Delaware,Ohlone Park,
32,McGee,1801,1899,2nd Tue,PM,E,Delaware,Ohlone Park,
32,McGee,1900,1998,2nd Tue,PM,W,Hearst,University,
42,McGee,1901,1999,2nd Wed,PM,E,Hearst,University,
51,McGee,2000,2898,1st Thurs,AM,W,University,Russell,2400
41,McGee,2001,2899,1st Wed,AM,E,University,Russell,
51,McKinley,2100,2498,1st Thurs,AM,W,Addison,Dwight,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,4
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
41,McKinley,2101,2499,1st Wed,AM,E,Addison,Dwight,
52,Milvia,1101,1199,2nd Thurs,PM,E,Hopkins,Eunice,
62,Milvia,1200,1598,2nd Fri,PM,W,Hopkins,Cedar,
52,Milvia,1201,1599,2nd Thurs,PM,E,Eunice,Cedar,
42,Milvia,1600,1998,2nd Wed,PM,W,Cedar,University,
32,Milvia,1601,1999,2nd Tue,PM,E,Cedar,University,
41,Milvia,2550,2898,1st Wed,AM,W,Blake,Russell,
51,Milvia,2551,2899,1st Thurs,AM,E,Blake,Russell,
52,Miramonte Ct,1400,1498,2nd Thurs,PM,W,Ada,Terminus,
52,Miramonte Ct,1401,1499,2nd Thurs,PM,E,Ada,Terminus,
