Rte,Street Name,Address,Address,Day of,AM/PM,Side,From,To,Opt-
43,Dana,2700,2722,3rd Wed,AM,W,Derby,Ward,2700
53,Dana,2701,2723,3rd Thurs,AM,E,Derby,Ward,
43,Dana,3030,3198,3rd Wed,AM,W,Webster,City Limit,
53,Dana,3099,3101,3rd Thurs,AM,E,Webster,Woolsey,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,6
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
53,Deakin,2900,3198,3rd Thurs,AM,W,Russell,City Limit,
43,Deakin,2901,3199,3rd Wed,AM,E,Russell,Woolsey,
31,Delaware,830,1099,1st Tue,PM,S,6th,San Pablo,
21,Delaware,831,1099,1st Mon,PM,N,6th,San Pablo,
32,Delaware,1523,1598,2nd Tue,PM,S/N,W Terminus,California,
41,Delaware,1100,1498,1st Wed,PM,S,San Pablo,Sacramento,
51,Delaware,1101,1499,1st Thurs,PM,N,San Pablo,Sacramento,
32,Delaware,1600,1998,2nd Tue,PM,S,California,Milvia,
42,Delaware,1601,1999,2nd Wed,PM,N,California,Milvia,
32,Derby,1100,1498,2nd Tue,AM,S,San Pablo,Sacramento,
42,Derby,1101,1499,2nd Wed,AM,N,San Pablo,Sacramento,
21,Derby,1500,1998,1st Mon,AM,S,Sacramento,Milvia,
31,Derby,1501,1999,1st Tue,AM,N,Sacramento,Milvia,
23,Derby,2000,2198,3rd Mon,AM,S,Milvia,Fulton,
33,Derby,2001,2199,3rd Tue,AM,N,Milvia,Fulton,
64,Derby,2200,2998,4th Fri,AM,S,Fulton,Belrose,
54,Derby,2201,2999,4th Thurs,AM,N,Fulton,Belrose,2400
52,Dohr,2724,3098,2nd Thurs,AM,W,Ward,Prince,
62,Dohr,2725,3099,2nd Fri,AM,E,Ward,Prince,
34,Domingo,1,69,4th Tue,AM,E,Ashby,The Plaza,
63,Domingo,1,69,3rd Fri,AM,W,Ashby,The Plaza,
51,Dover,3300,3349,1st Thurs,AM,W,Alcatraz,City Limit,
33,Dowling Place,2401,2499,3rd Tue,AM,N,Dana,Telegraph,
23,Dowling Place,2401,2499,3rd Mon,AM,S,Dana,Telegraph,
23,Durant,2200,2398,3rd Mon,PM,S,Fulton,Dana,
33,Durant,2201,2399,3rd Tue,PM,N,Fulton,Dana,
22,Dwight,1100,1498,2nd Mon,AM,S,San Pablo,Sacramento,
61,Dwight,1101,1499,1st Fri,AM,N,San Pablo,Sacramento,
21,Dwight,1500,1898,1st Mon,AM,S,Sacramento,M L King,
31,Dwight,1501,1899,1st Tue,AM,N,Sacramento,M L King,
23,Dwight,2200,2398,3rd Mon,PM,S,Fulton,Dana,
33,Dwight,2201,2399,3rd Tue,PM,N,Fulton,Dana,
44,Dwight,2800,2998,4th Wed,PM,S,Piedmont,Fernwald,
34,Dwight,2801,,4th Tue,PM,N,Piedmont,Fernwald,
22,Dwight Cresc,830,898,2nd Mon,AM,W,6th,7th,
61,Dwight Cresc,831,899,1st Fri,AM,E,6th,7th,
52,Edith,1400,1598,2nd Thurs,PM,W,Rose,Cedar,1400
62,Edith,1401,1599,2nd Fri,PM,E,Rose,Cedar,
32,Edith,1600,1698,2nd Tue,PM,W,Cedar,Virginia,
42,Edith,1601,1699,2nd Wed,PM,E,Cedar,Virginia,
61,Edwards,2300,2498,1st Fri,AM,W,Bancroft,Dwight,
22,Edwards,2301,2499,2nd Mon,AM,E,Bancroft,Dwight,
63,El Camino Real,2,118,3rd Fri,AM,W,Domingo,The Uplands,
34,El Camino Real,3,83,4th Tue,AM,E,Domingo,The Uplands,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,7
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
34,El Camino Real,9,99,4th Tue,AM,E,The Uplands,Cul De Sac,
34,El Camino Real,10,100,4th Tue,AM,W,The Uplands,Cul De Sac,
41,Ellis,2901,3299,1st Wed,AM,W,Russell,Alcatraz,
51,Ellis,2901,3299,1st Thurs,AM,E,Russell,Alcatraz,
23,Ellsworth,2301,2499,3rd Mon,PM,E,Dwight,Bancroft,
33,Ellsworth,2301,2499,3rd Tue,PM,W,Dwight,Bancroft,
54,Ellsworth,2500,2698,4th Thurs,AM,W,Dwight,Derby,
64,Ellsworth,2501,2699,4th Fri,AM,E,Dwight,Derby,
53,Ellsworth,2700,2998,3rd Thurs,AM,W,Derby,Ashby,
43,Ellsworth,2701,2999,3rd Wed,AM,E,Derby,Ashby,
34,Elmwood,2700,2799,4th Tue,AM,S,Ashby,Piedmont,
63,Elmwood,2701,2799,3rd Fri,AM,N,Ashby,Piedmont,
24,Elmwood Ct,2960,2998,4th Mon,AM,W,Ashby,End,
24,Elmwood Ct,2961,2999,4th Mon,AM,E,Ashby,End,
33,Emerson,2000,2148,3rd Tue,AM,S,Adeline,Wheeler,
23,Emerson,2001,2149,3rd Mon,AM,N,Adeline,Wheeler,
63,Encina Place,2,10,3rd Fri,AM,W,The Uplands,The Plaza,
24,Ensenada,700,798,4th Mon,PM,W,Portland,Capistrano,600
63,Ensenada,701,799,3rd Fri,PM,E,Portland,Capistrano,800
43,Ensenada,900,998,3rd Wed,PM,W,Solano,Marin,
53,Ensenada,901,999,3rd Thurs,PM,E,Solano,Marin,800
42,Eola,1700,1722,2nd Wed,PM,W,Virginia,Francisco,
